Name,Type,Mana Cost,Power,Toughness,Text
"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,{1}{W}{W},*,4,"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control."
Ambitious Farmhand // Seasoned Cathar,Creature — Human Peasant,{1}{W},1,1,"When Ambitious Farmhand enters the battlefield, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
Coven — {1}{W}{W}: Transform Ambitious Farmhand. Activate only if you control three or more creatures with different powers."
Ambitious Farmhand // Seasoned Cathar,Creature — Human Knight,,3,3,Lifelink
Beloved Beggar // Generous Soul,Creature — Human Peasant,{1}{W},0,4,Disturb {4}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.)
Beloved Beggar // Generous Soul,Creature — Spirit,,4,4,"Flying, vigilance
If Generous Soul would be put into a graveyard from anywhere, exile it instead."
Bereaved Survivor // Dauntless Avenger,Creature — Human Peasant,{2}{W},2,1,"When another creature you control dies, transform Bereaved Survivor."
Bereaved Survivor // Dauntless Avenger,Creature — Human Soldier,,3,2,"Whenever Dauntless Avenger attacks, return target creature card with mana value 2 or less from your graveyard to the battlefield tapped and attacking."
Blessed Defiance,Instant,{W},,,"Target creature you control gets +2/+0 and gains lifelink until end of turn. When that creature dies this turn, create a 1/1 white Spirit creature token with flying."
Borrowed Time,Enchantment,{2}{W},,,"When Borrowed Time enters the battlefield, exile target nonland permanent an opponent controls until Borrowed Time leaves the battlefield."
Brutal Cathar // Moonrage Brute,Creature — Human Soldier Werewolf,{2}{W},2,2,"When this creature enters the battlefield or transforms into Brutal Cathar, exile target creature an opponent controls until this creature leaves the battlefield.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Brutal Cathar // Moonrage Brute,Creature — Werewolf,,3,3,"First strike
Ward—Pay 3 life.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Candlegrove Witch,Creature — Human Warlock,{1}{W},2,2,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlegrove Witch gains flying until end of turn."
Candletrap,Enchantment — Aura,{W},,,"Enchant creature
Enchanted creature has defender.
Prevent all combat damage that would be dealt by enchanted creature.
Coven — {2}{W}, Sacrifice Candletrap: Exile enchanted creature. Activate only if you control three or more creatures with different powers."
Cathar Commando,Creature — Human Soldier,{1}{W},3,1,"Flash
{1}, Sacrifice Cathar Commando: Destroy target artifact or enchantment."
Cathar's Call,Enchantment — Aura,{2}{W},,,"Enchant creature
Enchanted creature has vigilance and ""At the beginning of your end step, create a 1/1 white Human creature token."""
Celestus Sanctifier,Creature — Human Cleric,{2}{W},3,2,"If it's neither day nor night, it becomes day as Celestus Sanctifier enters the battlefield.
Whenever day becomes night or night becomes day, look at the top two cards of your library. Put one of them into your graveyard."
Chaplain of Alms // Chapel Shieldgeist,Creature — Human Cleric,{W},1,1,"First strike
Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)"
Chaplain of Alms // Chapel Shieldgeist,Creature — Spirit Cleric,,2,1,"Flying, first strike
Each creature you control has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
If Chapel Shieldgeist would be put into a graveyard from anywhere, exile it instead."
Clarion Cathars,Creature — Human Knight,{3}{W},3,3,"When Clarion Cathars enters the battlefield, create a 1/1 white Human creature token."
Curse of Silence,Enchantment — Aura Curse,{W},,,"Enchant player
As Curse of Silence enters the battlefield, choose a card name.
Spells with the chosen name enchanted player casts cost {2} more to cast.
Whenever enchanted player casts a spell with the chosen name, you may sacrifice Curse of Silence. If you do, draw a card."
Duelcraft Trainer,Creature — Human Soldier,{3}{W},3,3,"First strike
Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, target creature you control gains double strike until end of turn."
Enduring Angel // Angelic Enforcer,Creature — Angel,{2}{W}{W}{W},3,3,"Flying, double strike
You have hexproof.
If your life total would be reduced to 0 or less, instead transform Enduring Angel and your life total becomes 3. Then if Enduring Angel didn't transform this way, you lose the game."
Enduring Angel // Angelic Enforcer,Creature — Angel,,*,*,"Flying
You have hexproof.
Angelic Enforcer's power and toughness are each equal to your life total.
Whenever Angelic Enforcer attacks, double your life total."
Fateful Absence,Instant,{1}{W},,,"Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Flare of Faith,Instant,{1}{W},,,"Target creature gets +2/+2 until end of turn. If it's a Human, instead it gets +3/+3 and gains indestructible until end of turn."
Gavony Dawnguard,Creature — Human Soldier,{1}{W}{W},3,3,"Ward {1}
If it's neither day nor night, it becomes day as Gavony Dawnguard enters the battlefield.
Whenever day becomes night or night becomes day, look at the top four cards of your library. You may reveal a creature card with mana value 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Gavony Silversmith,Creature — Human Soldier,{3}{W},2,3,"When Gavony Silversmith enters the battlefield, put a +1/+1 counter on each of up to two target creatures."
Gavony Trapper,Creature — Human Soldier,{W},0,2,"{2}, {T}: Tap target creature."
Hedgewitch's Mask,Artifact — Equipment,{W},,,"Equipped creature gets +1/+1.
Equipped creature can't be blocked by creatures with power 4 or greater.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Homestead Courage,Sorcery,{W},,,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Intrepid Adversary,Creature — Human Scout,{1}{W},3,1,"Lifelink
When Intrepid Adversary enters the battlefield, you may pay {1}{W} any number of times. When you pay this cost one or more times, put that many valor counters on Intrepid Adversary.
Creatures you control get +1/+1 for each valor counter on Intrepid Adversary."
Loyal Gryff,Creature — Hippogriff,{2}{W},2,2,"Flash
Flying
When Loyal Gryff enters the battlefield, you may return another creature you control to its owner's hand."
Lunarch Veteran // Luminous Phantom,Creature — Human Cleric,{W},1,1,"Whenever another creature enters the battlefield under your control, you gain 1 life.
Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.)"
Lunarch Veteran // Luminous Phantom,Creature — Spirit Cleric,,1,1,"Flying
Whenever another creature you control leaves the battlefield, you gain 1 life.
If Luminous Phantom would be put into a graveyard from anywhere, exile it instead."
Mourning Patrol // Morning Apparition,Creature — Human Soldier,{2}{W},2,3,"Vigilance
Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)"
Mourning Patrol // Morning Apparition,Creature — Spirit Soldier,,2,1,"Flying, vigilance
If Morning Apparition would be put into a graveyard from anywhere, exile it instead."
Odric's Outrider,Creature — Human Knight,{3}{W},2,4,"Whenever Odric's Outrider or another creature you control dies, put a +1/+1 counter on target creature you control."
Ritual Guardian,Creature — Human Soldier,{2}{W},3,2,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Ritual Guardian gains lifelink until end of turn."
Ritual of Hope,Instant,{1}{W},,,"Creatures you control get +1/+1 until end of turn.
Coven — If you control three or more creatures with different powers, creatures you control get +2/+1 until end of turn instead."
Search Party Captain,Creature — Human Soldier,{3}{W},2,2,"This spell costs {1} less to cast for each creature you attacked with this turn.
When Search Party Captain enters the battlefield, draw a card."
Sigarda's Splendor,Enchantment,{2}{W}{W},,,"As Sigarda's Splendor enters the battlefield, note your life total.
At the beginning of your upkeep, draw a card if your life total is greater than or equal to the last noted life total for Sigarda's Splendor. Then note your life total.
Whenever you cast a white spell, you gain 1 life."
Sigardian Savior,Creature — Angel,{3}{W}{W},3,3,"Flying
When Sigardian Savior enters the battlefield, if you cast it, return up to two target creature cards with mana value 2 or less from your graveyard to the battlefield."
Soul-Guide Gryff,Creature — Hippogriff Spirit,{4}{W},3,4,"Flying
When Soul-Guide Gryff enters the battlefield, exile up to one target card from a graveyard."
Sungold Barrage,Instant,{2}{W},,,Destroy target creature with toughness 4 or greater.
Sungold Sentinel,Creature — Human Soldier,{1}{W},3,2,"Whenever Sungold Sentinel enters the battlefield or attacks, exile up to one target card from a graveyard.
Coven — {1}{W}: Choose a color. Sungold Sentinel gains hexproof from that color until end of turn and can't be blocked by creatures of that color this turn. Activate only if you control three or more creatures with different powers."
Sunset Revelry,Sorcery,{1}{W},,,"If an opponent has more life than you, you gain 4 life.
If an opponent controls more creatures than you, create two 1/1 white Human creature tokens.
If an opponent has more cards in hand than you, draw a card."
Thraben Exorcism,Instant,{1}{W},,,"Exile target Spirit, creature with disturb, or enchantment."
Unruly Mob,Creature — Human,{1}{W},1,1,"Whenever another creature you control dies, put a +1/+1 counter on Unruly Mob."
Vanquish the Horde,Sorcery,{6}{W}{W},,,"This spell costs {1} less to cast for each creature on the battlefield.
Destroy all creatures."
Baithook Angler // Hook-Haunt Drifter,Creature — Human Peasant,{1}{U},2,1,Disturb {1}{U} (You may cast this card from your graveyard transformed for its disturb cost.)
Baithook Angler // Hook-Haunt Drifter,Creature — Spirit,,1,2,"Flying
If Hook-Haunt Drifter would be put into a graveyard from anywhere, exile it instead."
Component Collector,Creature — Homunculus,{2}{U},1,4,"If it's neither day nor night, it becomes day as Component Collector enters the battlefield.
Whenever day becomes night or night becomes day, you may tap or untap target nonland permanent."
Consider,Instant,{U},,,"Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Draw a card."
Covetous Castaway // Ghostly Castigator,Creature — Human,{1}{U},1,3,"When Covetous Castaway dies, mill three cards. (Put the top three cards of your library into your graveyard.)
Disturb {3}{U}{U} (You may cast this card from your graveyard transformed for its disturb cost.)"
Covetous Castaway // Ghostly Castigator,Creature — Spirit,,3,4,"Flying
When Ghostly Castigator enters the battlefield, you may shuffle up to three target cards from your graveyard into your library.
If Ghostly Castigator would be put into a graveyard from anywhere, exile it instead."
Curse of Surveillance,Enchantment — Aura Curse,{4}{U},,,"Enchant player
At the beginning of enchanted player's upkeep, any number of target players other than that player each draw cards equal to the number of Curses attached to that player."
Delver of Secrets // Insectile Aberration,Creature — Human Wizard,{U},1,1,"At the beginning of your upkeep, look at the top card of your library. You may reveal that card. If an instant or sorcery card is revealed this way, transform Delver of Secrets."
Delver of Secrets // Insectile Aberration,Creature — Human Insect,,3,2,Flying
Devious Cover-Up,Instant,{2}{U}{U},,,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard. You may shuffle up to four target cards from your graveyard into your library."
Dissipate,Instant,{1}{U}{U},,,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
Drownyard Amalgam,Creature — Zombie Horror,{4}{U},3,6,"When Drownyard Amalgam enters the battlefield, target player mills three cards. (They put the top three cards of their library into their graveyard.)
{2}{U}: Drownyard Amalgam can't be blocked this turn."
Fading Hope,Instant,{U},,,"Return target creature to its owner's hand. If its mana value was 3 or less, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
Falcon Abomination,Creature — Zombie Bird,{2}{U},2,2,"Flying
When Falcon Abomination enters the battlefield, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
A-Falcon Abomination,Creature — Zombie Bird,{2}{U},2,2,"Flash
Flying
When Falcon Abomination enters the battlefield, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
Firmament Sage,Creature — Human Wizard,{3}{U},2,3,"If it's neither day nor night, it becomes day as Firmament Sage enters the battlefield.
Whenever day becomes night or night becomes day, draw a card."
Flip the Switch,Instant,{2}{U},,,"Counter target spell unless its controller pays {4}. Create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
Galedrifter // Waildrifter,Creature — Hippogriff,{3}{U},3,2,"Flying
Disturb {4}{U} (You may cast this card from your graveyard transformed for its disturb cost.)"
Galedrifter // Waildrifter,Creature — Hippogriff Spirit,,2,2,"Flying
If Waildrifter would be put into a graveyard from anywhere, exile it instead."
Geistwave,Instant,{1}{U},,,"Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card."
Grafted Identity,Enchantment — Aura,{2}{U}{U},,,"As an additional cost to cast this spell, sacrifice a creature.
Enchant creature
You control enchanted creature.
Enchanted creature gets +1/+1."
Grafted Identity,Enchantment — Aura,{2}{U}{U},,,"As an additional cost to cast this spell, sacrifice a creature.
Enchant creature
You control enchanted creature.
Enchanted creature gets +1/+1."
Larder Zombie,Creature — Zombie,{U},1,3,"Defender
Tap three untapped creatures you control: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
"Lier, Disciple of the Drowned",Legendary Creature — Human Wizard,{3}{U}{U},3,4,"Spells can't be countered.
Each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost."
"A-Lier, Disciple of the Drowned",Legendary Creature — Human Wizard,{3}{U}{U},3,4,"Spells can't be countered.
As long as it's your turn, each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost."
Locked in the Cemetery,Enchantment — Aura,{1}{U},,,"Enchant creature
When Locked in the Cemetery enters the battlefield, if there are five or more cards in your graveyard, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step."
Malevolent Hermit // Benevolent Geist,Creature — Human Wizard,{1}{U},2,1,"{U}, Sacrifice Malevolent Hermit: Counter target noncreature spell unless its controller pays {3}.
Disturb {2}{U} (You may cast this card from your graveyard transformed for its disturb cost.)"
Malevolent Hermit // Benevolent Geist,Creature — Spirit Wizard,,2,2,"Flying
Noncreature spells you control can't be countered.
If Benevolent Geist would be put into a graveyard from anywhere, exile it instead."
Memory Deluge,Instant,{2}{U}{U},,,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Mysterious Tome // Chilling Chronicle,Artifact,{2}{U},,,"{2}, {T}: Draw a card. Transform Mysterious Tome."
Mysterious Tome // Chilling Chronicle,Artifact,,,,"{1}, {T}: Tap target nonland permanent. Transform Chilling Chronicle."
Nebelgast Intruder,Creature — Spirit,{2}{U},2,1,"Flash
Flying
When Nebelgast Intruder enters the battlefield, up to one target creature an opponent controls gets -2/-0 until end of turn."
Ominous Roost,Enchantment,{2}{U},,,"When Ominous Roost enters the battlefield or whenever you cast a spell from your graveyard, create a 1/1 blue Bird creature token with flying and ""This creature can block only creatures with flying."""
Organ Hoarder,Creature — Zombie,{3}{U},3,2,"When Organ Hoarder enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest into your graveyard."
Otherworldly Gaze,Instant,{U},,,"Surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Overwhelmed Archivist // Archive Haunt,Creature — Human Wizard,{2}{U},3,2,"When Overwhelmed Archivist enters the battlefield, draw a card, then discard a card.
Disturb {3}{U} (You may cast this card from your graveyard transformed for its disturb cost.)"
Overwhelmed Archivist // Archive Haunt,Creature — Spirit Wizard,,2,1,"Flying
Whenever Archive Haunt attacks, draw a card, then discard a card.
If Archive Haunt would be put into a graveyard from anywhere, exile it instead."
Patrician Geist,Creature — Spirit Knight,{2}{U},2,2,"Flying
Other Spirits you control get +1/+1.
Spells you cast from your graveyard cost {1} less to cast."
A-Patrician Geist,Creature — Spirit Knight,{2}{U},2,2,"Flying
Other Spirits you control get +1/+1.
Spells you cast from your graveyard cost {U} less to cast."
